City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,bulgan,48.8125,103.5347,7.66,59,36,3.85,MN,1684016238
297,puerto santa,-8.9906,-78.6456,23.14,81,59,4.07,PE,1684016239
298,gemena,3.25,19.7667,23.06,88,85,0.89,CD,1684016239
299,kavieng,-2.5744,150.7967,27.84,77,96,0.88,PG,1684016241
300,pariaman,-0.619,100.12,25.09,90,29,1.44,ID,1684016094
301,mont-laurier,46.5501,-75.4993,13.79,42,7,5.42,CA,1684016241
302,berezovyy,51.6667,135.7,15.37,60,94,1.29,RU,1684016242
303,san jose del guaviare,2.5729,-72.6459,26.48,94,71,0.45,CO,1684016242
304,changji,44.0167,87.3167,21.44,35,0,1.0,CN,1684016243
305,alaghsas,17.0187,8.0168,32.05,13,21,4.02,NE,1684016243
306,wuhai,39.6647,106.8122,16.49,17,0,1.65,CN,1684016244
307,le treport,50.0598,1.3758,10.0,91,0,4.47,FR,1684016244
308,itoman,26.1247,127.6694,22.43,83,75,5.14,JP,1684016071
309,severo-yeniseyskiy,60.3725,93.0408,-12.63,98,73,1.62,RU,1684016073
310,revda,56.801,59.9303,8.1,73,100,1.33,RU,1684015934
311,thames,-37.1333,175.5333,12.28,85,94,0.53,NZ,1684016246
312,usinsk,65.9939,57.5281,-2.4,85,94,3.2,RU,1684015859
313,aban,56.67,96.06,-3.76,67,9,2.61,RU,1684016246
314,kokkola,63.8385,23.1307,8.35,89,0,1.03,FI,1684016247
315,thunder bay,48.4001,-89.3168,13.17,50,100,1.25,CA,1684016039
316,nyazepetrovsk,56.0531,59.6028,5.55,87,93,3.13,RU,1684016248
317,muravlenko,63.7898,74.523,-0.94,91,100,9.17,RU,1684016248
318,kalat,29.0225,66.5916,17.44,19,1,1.72,PK,1684016249
319,gebeit,21.0667,36.3167,25.67,27,1,2.11,SD,1684016249
320,ataq,14.5377,46.8319,23.92,74,6,4.39,YE,1684016255
321,roma,43.2128,-75.4557,22.08,28,0,4.12,US,1684016116
322,son la,21.3167,103.9,18.32,99,100,0.94,VN,1684016255
323,santa cruz,-17.8,-63.1667,24.03,60,100,2.06,BO,1684015886
324,kapa'a,22.0752,-159.319,27.99,70,0,7.2,US,1684015869
325,suzun,53.7841,82.3116,4.77,45,100,4.87,RU,1684016256
326,arteche,12.2645,125.4048,25.66,83,100,0.12,PH,1684016256
327,zhangye,38.9342,100.4517,15.96,20,95,1.38,CN,1684016257
328,kisangani,0.5167,25.2,24.49,78,100,0.37,CD,1684015809
329,grossostheim,49.9211,9.0814,13.2,90,29,1.41,DE,1684016258
330,saynshand,44.8824,110.1163,13.53,54,94,0.93,MN,1684016258
331,lompoc,34.6391,-120.4579,24.36,66,0,3.6,US,1684016059
332,grand falls-windsor,48.9332,-55.6649,12.5,44,99,1.79,CA,1684016258
333,al ghayzah,16.2079,52.176,28.66,72,0,3.77,YE,1684016074
334,nguigmi,14.2495,13.1092,31.21,19,82,4.38,NE,1684016259
335,weno,7.4515,151.8468,28.7,74,79,2.27,FM,1684015855
336,gladstone,-23.85,151.25,18.96,88,100,2.57,AU,1684016259
337,labytnangi,66.6572,66.4183,-9.64,92,93,2.3,RU,1684016080
338,yantongshan,43.2919,126.0094,10.9,83,0,2.14,CN,1684016260
339,mersa matruh,31.3525,27.2453,18.2,79,100,3.01,EG,1684016260
340,federal,-30.9547,-58.7833,17.29,60,6,2.25,AR,1684016260
341,ola,59.5833,151.2833,1.19,99,100,2.74,RU,1684015866
342,bardai,11.65,7.2333,30.42,15,75,3.16,NG,1684015841
343,san luis de la loma,17.2706,-100.8939,30.8,59,20,3.61,MX,1684015844
344,korla,41.7597,86.1469,21.53,30,49,4.81,CN,1684016261
345,el porvenir,13.7617,-87.3458,25.63,45,60,2.16,HN,1684016262
346,sisimiut,66.9395,-53.6735,-1.45,71,95,5.19,GL,1684015906
347,salinopolis,-0.6136,-47.3561,26.88,81,31,3.21,BR,1684016262
348,ust-nera,64.5667,143.2,-1.19,82,99,2.09,RU,1684016041
349,kerikeri,-35.2268,173.9474,16.62,93,20,1.68,NZ,1684015958
350,yuzhne,46.6221,31.1013,15.08,59,100,2.2,UA,1684016263
351,tingi,-11.3,35.0333,16.8,84,59,1.19,TZ,1684016264
352,sovata,46.5833,25.0667,6.28,80,40,2.69,RO,1684016264
353,la tuque,47.4334,-72.7824,9.14,37,98,6.69,CA,1684016264
354,charlottetown,46.2352,-63.1267,13.09,54,67,4.02,CA,1684015651
355,ghanzi,-21.5667,21.7833,19.89,28,20,3.04,BW,1684016265
356,torghay,49.6339,63.4981,9.54,72,3,5.54,KZ,1684016265
